Temps	Canal A	Canal B
(s)	(V)	(V)

0.11796480	0.00091556	-0.07446516
0.11829248	0.00091556	0.01312296
0.11862016	0.00091556	0.01312296
0.11894784	0.00091556	0.01312296
0.11927552	0.00091556	0.01312296
0.11960320	0.00091556	0.01312296
0.11993088	0.00091556	0.10040590
0.12025856	0.00091556	-0.07446516
0.12058624	0.00091556	-0.07446516
0.12091392	0.00091556	0.01312296
0.12124160	0.00091556	0.01312296
0.12156928	0.00091556	0.10040590
0.12189696	0.00091556	0.01312296
0.12222464	0.08850367	0.01312296
0.12255232	0.00091556	0.01312296
0.12288000	0.00091556	-0.07446516
0.12320768	0.00091556	-0.07446516
0.12353536	0.00091556	0.01312296
0.12386304	0.00091556	0.01312296
0.12419072	0.00091556	0.01312296
0.12451840	0.00091556	-0.07446516
0.12484608	0.00091556	0.01312296
0.12517376	0.00091556	-0.07446516
0.12550144	0.00091556	0.01312296
0.12582912	-0.08697775	-0.16174810
0.12615680	0.00091556	0.01312296
0.12648448	0.00091556	0.01312296
0.12681216	0.00091556	0.01312296
0.12713984	0.00091556	0.01312296
0.12746752	0.00091556	0.10040590
0.12779520	0.00091556	5.08255200
0.12812288	0.00091556	5.08255200
0.12845056	0.00091556	5.08255200
0.12877824	0.00091556	5.08255200
0.12910592	0.00091556	5.08255200
0.12943360	0.00091556	5.08255200
0.12976128	0.00091556	5.08255200
0.13008896	0.00091556	5.08255200
0.13041664	0.00091556	5.08255200
0.13074432	0.00091556	5.08255200
0.13107200	0.00091556	5.08255200
0.13139968	0.00091556	5.08255200
0.13172736	0.00091556	5.08255200
0.13205504	0.00091556	5.08255200
0.13238272	0.00091556	5.08255200
0.13271040	0.00091556	5.08255200
0.13303808	5.09231900	5.08255200
0.13336576	5.09231900	5.08255200
0.13369344	5.09231900	5.08255200
0.13402112	5.09231900	5.08255200
0.13434880	5.09231900	4.99527000
0.13467648	5.09231900	5.08255200
0.13500416	5.09231900	5.08255200
0.13533184	5.00442500	5.08255200
0.13565952	5.09231900	5.08255200
0.13598720	5.09231900	5.08255200
0.13631488	5.09231900	5.08255200
0.13664256	5.09231900	-0.07446516
0.13697024	5.09231900	0.01312296
0.13729792	5.09231900	-0.07446516
0.13762560	5.09231900	-0.07446516
0.13795328	5.09231900	-0.07446516
0.13828096	5.09231900	-0.07446516
0.13860864	5.09231900	0.01312296
0.13893632	5.09231900	0.01312296
0.13926400	0.00091556	0.01312296
0.13959168	0.00091556	0.01312296
0.13991936	0.00091556	0.01312296
0.14024704	0.00091556	0.10040590
0.14057472	0.00091556	0.01312296
0.14090240	0.00091556	0.01312296
0.14123008	0.00091556	0.01312296
0.14155776	0.00091556	0.01312296
0.14188544	0.00091556	0.01312296
0.14221312	0.00091556	0.01312296
0.14254080	0.00091556	-0.07446516
0.14286848	0.00091556	0.01312296
0.14319616	0.00091556	0.01312296
0.14352384	0.00091556	0.01312296
0.14385152	0.00091556	0.01312296
0.14417920	0.00091556	-0.07446516
0.14450688	0.00091556	5.08255200
0.14483456	0.00091556	5.08255200
0.14516224	0.00091556	5.08255200
0.14548992	0.00091556	5.08255200
0.14581760	0.00091556	5.08255200
0.14614528	0.00091556	5.08255200
0.14647296	0.00091556	4.99527000
0.14680064	0.00091556	5.08255200
0.14712832	-0.08697775	4.99527000
0.14745600	0.00091556	5.08255200
0.14778368	0.00091556	5.08255200
0.14811136	0.00091556	5.08255200
0.14843904	0.00091556	5.08255200
0.14876672	0.00091556	5.08255200
0.14909440	0.00091556	5.08255200
0.14942208	0.00091556	5.08255200
0.14974976	5.09231900	5.08255200
0.15007744	5.09231900	5.08255200
0.15040512	5.09231900	5.08255200
0.15073280	5.09231900	5.08255200
0.15106048	5.09231900	5.08255200
0.15138816	5.09231900	5.08255200
0.15171584	5.09231900	5.08255200
0.15204352	5.09231900	4.99527000
0.15237120	5.00442500	5.08255200
0.15269888	5.00442500	5.08255200
0.15302656	5.09231900	5.08255200
0.15335424	5.09231900	-0.07446516
0.15368192	5.09231900	0.01312296
0.15400960	5.00442500	-0.07446516
0.15433728	5.09231900	0.01312296
0.15466496	5.09231900	0.01312296
0.15499264	5.09231900	0.01312296
0.15532032	5.09231900	-0.07446516
0.15564800	5.00442500	0.01312296
0.15597568	0.00091556	0.01312296
0.15630336	0.00091556	0.01312296
0.15663104	0.00091556	-0.07446516
0.15695872	0.00091556	0.01312296
0.15728640	0.00091556	-0.07446516
0.15761408	0.00091556	0.01312296
0.15794176	0.00091556	0.01312296
0.15826944	0.00091556	0.10040590
0.15859712	0.00091556	0.01312296
0.15892480	0.00091556	-0.07446516
0.15925248	0.00091556	-0.07446516
0.15958016	0.00091556	0.01312296
0.15990784	0.00091556	5.08255200
0.16023552	0.00091556	5.08255200
0.16056320	0.00091556	5.08255200
0.16089088	0.00091556	5.08255200
0.16121856	0.00091556	5.08255200
0.16154624	0.00091556	5.08255200
0.16187392	0.00091556	5.08255200
0.16220160	0.00091556	5.08255200
0.16252928	-0.08697775	5.08255200
0.16285696	0.00091556	5.08255200
0.16318464	5.00442500	5.08255200
0.16351232	5.09231900	5.08255200
0.16384000	5.00442500	4.99527000
0.16416768	5.00442500	5.08255200
0.16449536	5.00442500	5.08255200
0.16482304	5.09231900	5.08255200
0.16515072	5.09231900	5.08255200
0.16547840	5.09231900	5.08255200
0.16580608	5.09231900	5.08255200
0.16613376	5.09231900	0.01312296
0.16646144	5.00442500	-0.07446516
0.16678912	5.00442500	0.01312296
0.16711680	5.09231900	0.10040590
0.16744448	5.09231900	0.01312296
0.16777216	5.09231900	0.01312296
0.16809984	5.09231900	0.01312296
0.16842752	0.00091556	-0.07446516
0.16875520	0.00091556	0.01312296
0.16908288	-0.08697775	-0.07446516
0.16941056	0.00091556	-0.07446516
0.16973824	0.00091556	0.01312296
0.17006592	0.00091556	-0.07446516
0.17039360	0.00091556	-0.07446516
0.17072128	0.00091556	-0.07446516
0.17104896	0.00091556	0.01312296
0.17137664	0.00091556	0.01312296
0.17170432	0.00091556	5.08255200
0.17203200	0.00091556	5.08255200
0.17235968	0.00091556	5.08255200
0.17268736	0.00091556	5.08255200
0.17301504	-0.08697775	5.08255200
0.17334272	0.00091556	5.08255200
0.17367040	0.00091556	5.08255200
0.17399808	0.00091556	5.08255200
0.17432576	0.00091556	5.08255200
0.17465344	5.09231900	5.08255200
0.17498112	5.09231900	5.08255200
0.17530880	5.00442500	5.08255200
0.17563648	5.09231900	5.08255200
0.17596416	5.09231900	5.08255200
0.17629184	5.09231900	5.08255200
0.17661952	5.00442500	5.08255200
